year,jurisdiction,jurisdiction_name,complaints,inquiries
2007,KS,Kansas,4581,1549
2007,KY,Kentucky,4475,682
2007,LA,Louisiana,4725,140142
2007,MA,Massachusetts,2290,26669
2007,MD,Maryland,13399,763
2007,ME,Maine,1006,11079
2007,MI,Michigan,4322,7513
2007,MN,Minnesota,2385,1372
2007,MO,Missouri,4661,35896
2007,MS,Mississippi,13500,0
2007,MT,Montana,2310,600
2007,NC,North Carolina,7517,63545
2007,ND,North Dakota,233,23445
2007,NE,Nebraska,1707,4079
2007,NH,New Hampshire,1186,11836
2007,NJ,New Jersey,7464,44522
2007,NM,New Mexico,924,6036
2007,NV,Nevada,2409,37141
2007,NY,New York,53498,1611
2007,OH,Ohio,7140,87184
2007,OK,Oklahoma,4508,27317
2007,OR,Oregon,3861,15481
2007,PA,Pennsylvania,16045,93074
2007,PR,Puerto Rico,1157,14559
2007,RI,Rhode Island,556,
2007,SC,South Carolina,2663,62073
2007,SD,South Dakota,931,22
2007,TN,Tennessee,3325,
2007,TX,Texas,26789,209779
2007,UT,Utah,999,85927
2007,VA,Virginia,4142,1161
2007,VT,Vermont,637,12784
2007,WA,Washington,5623,100658
2007,WI,Wisconsin,8195,35000
2007,WV,West Virginia,2493,29549
2007,WY,Wyoming,488,
2008,AK,Alaska,345,5000
2008,AL,Alabama,5448,4904
2008,AR,Arkansas,2731,23419
2008,AZ,Arizona,3000,58561
2008,CA,California,37513,222405
2008,CO,Colorado,4048,19249
2008,CT,Connecticut,5051,24763
2008,DC,Dist. of Columbia,634,2000
2008,DE,Delaware,1274,5700
2008,FL,Florida,19811,295818
2008,GA,Georgia,10079,54516
2008,HI,Hawaii,730,5058
2008,IA,Iowa,1964,943
2008,ID,Idaho,882,9116
2008,IL,Illinois,10545,161210
2008,IN,Indiana,6012,77741
2008,KS,Kansas,4558,1463
2008,KY,Kentucky,4399,702
2008,LA,Louisiana,4575,125771
2008,MA,Massachusetts,1584,26150
2008,MD,Maryland,13020,786
2008,ME,Maine,999,11319
2008,MI,Michigan,3108,6334
2008,MN,Minnesota,2584,1014
2008,MO,Missouri,4860,34415
2008,MS,Mississippi,13000,0
2008,MT,Montana,1661,400
2008,NC,North Carolina,8230,58582
2008,ND,North Dakota,275,28947
2008,NE,Nebraska,1304,3240
2008,NH,New Hampshire,1297,9355
2008,NJ,New Jersey,7604,43517
2008,NM,New Mexico,611,5346
2008,NV,Nevada,2389,30766
2008,NY,New York,57714,6333
2008,OH,Ohio,6937,79952
2008,OK,Oklahoma,4021,39833
2008,OR,Oregon,3811,13909
2008,PA,Pennsylvania,17402,74587
2008,PR,Puerto Rico,1065,
2008,RI,Rhode Island,569,
2008,SC,South Carolina,2700,66573
2008,SD,South Dakota,900,39
2008,TN,Tennessee,3076,
2008,TX,Texas,29343,220685
2008,UT,Utah,1042,112177
2008,VA,Virginia,4269,829
2008,VT,Vermont,646,10264
2008,WA,Washington,5777,117592
2008,WI,Wisconsin,8811,35000
2008,WV,West Virginia,2632,32769
2008,WY,Wyoming,487,
2009,AK,Alaska,332,3992
2009,AL,Alabama,1146,4646
2009,AR,Arkansas,2864,20513
2009,AZ,Arizona,2471,39742
2009,CA,California,36636,212567
2009,CO,Colorado,4654,23051
2009,CT,Connecticut,5270,29465
2009,DC,Dist. of Columbia,612,398
2009,DE,Delaware,1252,4971
2009,FL,Florida,23211,454251
2009,GA,Georgia,10530,57537
2009,HI,Hawaii,751,4788
2009,IA,Iowa,1830,940
2009,ID,Idaho,844,8582
2009,IL,Illinois,10357,177944
2009,IN,Indiana,4859,71960
2009,KS,Kansas,4522,1561
2009,KY,Kentucky,3736,939
2009,LA,Louisiana,4219,83545
2009,MA,Massachusetts,1705,26664
2009,MD,Maryland,11978,2544
2009,ME,Maine,964,9998
2009,MI,Michigan,4786,6377
2009,MN,Minnesota,2867,35507
2009,MO,Missouri,4767,31115
2009,MP,N. Mariana Islands,12,
2009,MS,Mississippi,1212,9501
2009,MT,Montana,1409,359
2009,NC,North Carolina,8827,62280
2009,ND,North Dakota,264,29521
2009,NE,Nebraska,1599,3000
2009,NH,New Hampshire,1252,9550
2009,NJ,New Jersey,6820,50712
2009,NM,New Mexico,620,5424
2009,NV,Nevada,2522,31639
2009,NY,New York,57754,6829
2009,OH,Ohio,5453,74072
2009,OK,Oklahoma,4291,42620
2009,OR,Oregon,3777,15896
2009,PA,Pennsylvania,17192,77081
2009,PR,Puerto Rico,1016,
2009,RI,Rhode Island,570,
2009,SC,South Carolina,2741,67403
2009,SD,South Dakota,851,50
2009,TN,Tennessee,3577,
2009,TX,Texas,30967,218791
2009,UT,Utah,1397,109351
2009,VA,Virginia,3620,729
2009,VT,Vermont,595,8010
2009,WA,Washington,6202,159641
2009,WI,Wisconsin,8398,35000
2009,WV,West Virginia,2332,31532
2009,WY,Wyoming,439,
2010,AK,Alaska,315,2066
2010,AL,Alabama,2221,3886
2010,AR,Arkansas,2584,23830
2010,AZ,Arizona,2421,38197
2010,CA,California,36226,190460
2010,CO,Colorado,4742,19854
2010,CT,Connecticut,4756,23056
2010,DC,Dist. of Columbia,624,683
2010,DE,Delaware,1047,4375
2010,FL,Florida,21272,285408
2010,GA,Georgia,10048,44296
2010,HI,Hawaii,811,6641
2010,IA,Iowa,1834,1062
2010,ID,Idaho,900,7453
2010,IL,Illinois,9924,160697
2010,IN,Indiana,3696,73528
2010,KS,Kansas,3764,1527
2010,KY,Kentucky,3324,739
2010,LA,Louisiana,3733,55934
2010,MA,Massachusetts,1669,27676
2010,MD,Maryland,13112,1755
