state,year,line,outcome_category,count,source_type,is_partial_year,notes
DC,1998,all_lines,,997,idrr,false,"NAIC IDRR Vol 1, data year 1998; complaints received, not closed"
DC,1999,all_lines,,634,idrr,false,"NAIC IDRR Vol 1, data year 1999; complaints received, not closed"
DC,2000,all_lines,,662,idrr,false,"NAIC IDRR Vol 1, data year 2000; complaints received, not closed"
DC,2001,all_lines,,861,idrr,false,"NAIC IDRR Vol 1, data year 2001; complaints received, not closed"
DC,2002,all_lines,,1055,idrr,false,"NAIC IDRR Vol 1, data year 2002; complaints received, not closed"
DC,2004,all_lines,,967,idrr,false,"NAIC IDRR Vol 1, data year 2004; complaints received, not closed"
DC,2005,all_lines,,865,idrr,false,"NAIC IDRR Vol 1, data year 2005; complaints received, not closed"
DC,2006,all_lines,,802,idrr,false,"NAIC IDRR Vol 1, data year 2006; complaints received, not closed"
DC,2007,all_lines,,647,idrr,false,"NAIC IDRR Vol 1, data year 2007; complaints received, not closed"
DC,2008,all_lines,,634,idrr,false,"NAIC IDRR Vol 1, data year 2008; complaints received, not closed"
DC,2009,all_lines,,612,idrr,false,"NAIC IDRR Vol 1, data year 2009; complaints received, not closed"
DC,2010,all_lines,,624,idrr,false,"NAIC IDRR Vol 1, data year 2010; complaints received, not closed"
DC,2011,all_lines,,672,idrr,false,"NAIC IDRR Vol 1, data year 2011; complaints received, not closed"
DC,2012,all_lines,,671,idrr,false,"NAIC IDRR Vol 1, data year 2012; complaints received, not closed"
DC,2013,all_lines,,640,idrr,false,"NAIC IDRR Vol 1, data year 2013; complaints received, not closed"
DC,2014,all_lines,,741,idrr,false,"NAIC IDRR Vol 1, data year 2014; complaints received, not closed"
DC,2015,all_lines,,739,idrr,false,"NAIC IDRR Vol 1, data year 2015; complaints received, not closed"
DC,2016,all_lines,,672,idrr,false,"NAIC IDRR Vol 1, data year 2016; complaints received, not closed"
DC,2017,all_lines,,681,idrr,false,"NAIC IDRR Vol 1, data year 2017; complaints received, not closed"
DC,2018,all_lines,,829,idrr,false,"NAIC IDRR Vol 1, data year 2018; complaints received, not closed"
DC,2019,all_lines,,672,idrr,false,"NAIC IDRR Vol 1, data year 2019; complaints received, not closed"
DC,2020,all_lines,,567,idrr,false,"NAIC IDRR Vol 1, data year 2020; complaints received, not closed"
DC,2021,all_lines,,531,idrr,false,"NAIC IDRR Vol 1, data year 2021; complaints received, not closed"
DC,2022,all_lines,,767,idrr,false,"NAIC IDRR Vol 1, data year 2022; complaints received, not closed"
DE,1998,all_lines,,7125,idrr,false,"NAIC IDRR Vol 1, data year 1998; complaints received, not closed"
DE,1999,all_lines,,6997,idrr,false,"NAIC IDRR Vol 1, data year 1999; complaints received, not closed"
DE,2000,all_lines,,6295,idrr,false,"NAIC IDRR Vol 1, data year 2000; complaints received, not closed"
DE,2001,all_lines,,6298,idrr,false,"NAIC IDRR Vol 1, data year 2001; complaints received, not closed"
DE,2002,all_lines,,6592,idrr,false,"NAIC IDRR Vol 1, data year 2002; complaints received, not closed"
DE,2004,all_lines,,7181,idrr,false,"NAIC IDRR Vol 1, data year 2004; complaints received, not closed"
DE,2005,all_lines,,8741,idrr,false,"NAIC IDRR Vol 1, data year 2005; complaints received, not closed"
DE,2006,all_lines,,9174,idrr,false,"NAIC IDRR Vol 1, data year 2006; complaints received, not closed"
DE,2007,all_lines,,3964,idrr,false,"NAIC IDRR Vol 1, data year 2007; complaints received, not closed"
DE,2008,all_lines,,1274,idrr,false,"NAIC IDRR Vol 1, data year 2008; complaints received, not closed"
DE,2009,all_lines,,1252,idrr,false,"NAIC IDRR Vol 1, data year 2009; complaints received, not closed"
DE,2010,all_lines,,1047,idrr,false,"NAIC IDRR Vol 1, data year 2010; complaints received, not closed"
DE,2011,all_lines,,1048,idrr,false,"NAIC IDRR Vol 1, data year 2011; complaints received, not closed"
DE,2012,all_lines,,971,idrr,false,"NAIC IDRR Vol 1, data year 2012; complaints received, not closed"
DE,2013,all_lines,,1035,idrr,false,"NAIC IDRR Vol 1, data year 2013; complaints received, not closed"
DE,2014,all_lines,,933,idrr,false,"NAIC IDRR Vol 1, data year 2014; complaints received, not closed"
DE,2015,all_lines,,689,idrr,false,"NAIC IDRR Vol 1, data year 2015; complaints received, not closed"
DE,2016,all_lines,,927,idrr,false,"NAIC IDRR Vol 1, data year 2016; complaints received, not closed"
DE,2017,all_lines,,778,idrr,false,"NAIC IDRR Vol 1, data year 2017; complaints received, not closed"
DE,2018,all_lines,,745,idrr,false,"NAIC IDRR Vol 1, data year 2018; complaints received, not closed"
DE,2019,all_lines,,671,idrr,false,"NAIC IDRR Vol 1, data year 2019; complaints received, not closed"
DE,2020,all_lines,,584,idrr,false,"NAIC IDRR Vol 1, data year 2020; complaints received, not closed"
DE,2021,all_lines,,629,idrr,false,"NAIC IDRR Vol 1, data year 2021; complaints received, not closed"
DE,2022,all_lines,,737,idrr,false,"NAIC IDRR Vol 1, data year 2022; complaints received, not closed"
FL,1998,all_lines,,37702,idrr,false,"NAIC IDRR Vol 1, data year 1998; complaints received, not closed"
FL,1999,all_lines,,35819,idrr,false,"NAIC IDRR Vol 1, data year 1999; complaints received, not closed"
FL,2000,all_lines,,38675,idrr,false,"NAIC IDRR Vol 1, data year 2000; complaints received, not closed"
FL,2001,all_lines,,37842,idrr,false,"NAIC IDRR Vol 1, data year 2001; complaints received, not closed"
FL,2002,all_lines,,39528,idrr,false,"NAIC IDRR Vol 1, data year 2002; complaints received, not closed"
FL,2004,all_lines,,94298,idrr,false,"NAIC IDRR Vol 1, data year 2004; complaints received, not closed"
FL,2005,all_lines,,67788,idrr,false,"NAIC IDRR Vol 1, data year 2005; complaints received, not closed"
FL,2006,all_lines,,56721,idrr,false,"NAIC IDRR Vol 1, data year 2006; complaints received, not closed"
FL,2007,all_lines,,57271,idrr,false,"NAIC IDRR Vol 1, data year 2007; complaints received, not closed"
FL,2008,all_lines,,19811,idrr,false,"NAIC IDRR Vol 1, data year 2008; complaints received, not closed"
FL,2009,all_lines,,23211,idrr,false,"NAIC IDRR Vol 1, data year 2009; complaints received, not closed"
FL,2010,all_lines,,21272,idrr,false,"NAIC IDRR Vol 1, data year 2010; complaints received, not closed"
FL,2011,all_lines,,20972,idrr,false,"NAIC IDRR Vol 1, data year 2011; complaints received, not closed"
FL,2012,all_lines,,19038,idrr,false,"NAIC IDRR Vol 1, data year 2012; complaints received, not closed"
FL,2013,all_lines,,19821,idrr,false,"NAIC IDRR Vol 1, data year 2013; complaints received, not closed"
FL,2014,all_lines,,17056,idrr,false,"NAIC IDRR Vol 1, data year 2014; complaints received, not closed"
FL,2015,all_lines,,16879,idrr,false,"NAIC IDRR Vol 1, data year 2015; complaints received, not closed"
FL,2016,all_lines,,16253,idrr,false,"NAIC IDRR Vol 1, data year 2016; complaints received, not closed"
FL,2017,all_lines,,19060,idrr,false,"NAIC IDRR Vol 1, data year 2017; complaints received, not closed"
FL,2018,all_lines,,22300,idrr,false,"NAIC IDRR Vol 1, data year 2018; complaints received, not closed"
FL,2019,all_lines,,19846,idrr,false,"NAIC IDRR Vol 1, data year 2019; complaints received, not closed"
FL,2020,all_lines,,18533,idrr,false,"NAIC IDRR Vol 1, data year 2020; complaints received, not closed"
