year,line,rank_in_study,company_canonical,company_name,exposure,justified_ratio,justified_count,study_year
2021,auto,48,PERMANENT GENERAL ASSURANCE CORPORATION,PERMANENT GENERAL ASSURANCE CORPORATION,71846,5.7,4,2024
2021,auto,49,ESURANCE PROPERTY AND CASUALTY INSURANCE CO,ESURANCE PROPERTY AND CASUALTY INSURANCE CO,210133,2.6,7,2024
2021,auto,50,"STATE NATIONAL INSURANCE COMPANY, INC.","STATE NATIONAL INSURANCE COMPANY, INC.",161070,26.7,14,2024
2021,auto,50,STATE NATIONAL INSURANCE COMPANY,State National Insurance Company,92253,26.7,14,2023
2021,home,1,GARRISON PROPERTY AND CASUALTY INSURANCE COMPANY,Garrison Property and Casualty Insurance Company,115066,0.9,1,2023
2021,home,1,AMERICAN NATIONAL P&C COMPANY,AMERICAN NATIONAL P&C COMPANY,105710,2.2,2,2024
2021,home,2,MARKEL AMERICAN INSURANCE COMPANY,MARKEL AMERICAN INSURANCE COMPANY,50731,0.0,0,2024
2021,home,2,AMERICAN NATIONAL PROP & CAS CO,American National Prop & Cas Co,82749,3.2,2,2023
2021,home,3,INTERINSURANCE EXCHANGE OF THE AUTOMOBILE CLUB,INTERINSURANCE EXCHANGE OF THE AUTOMOBILE CLUB,913759,2.0,16,2024
2021,home,4,CENTURY NATIONAL INSURANCE COMPANY,Century National Insurance Company,55045,0.0,0,2023
2021,home,4,UNITED SERVICES AUTOMOBILE ASSOCIATION,UNITED SERVICES AUTOMOBILE ASSOCIATION,225597,2.3,5,2024
2021,home,5,USAA GENERAL INDEMNITY COMPANY,USAA GENERAL INDEMNITY COMPANY,134043,1.6,2,2024
2021,home,5,AMCO INSURANCE COMPANY,AMCO Insurance Company,45097,8.8,5,2023
2021,home,6,GARRISON PROPERTY AND CASUALTY INSURANCE CO,GARRISON PROPERTY AND CASUALTY INSURANCE CO,128203,0.9,1,2024
2021,home,7,STATE FARM GENERAL INSURANCE COMPANY,STATE FARM GENERAL INSURANCE COMPANY,2323301,2.2,50,2024
2021,home,8,USAA CASUALTY INSURANCE COMPANY,USAA CASUALTY INSURANCE COMPANY,250624,2.6,6,2024
2021,home,9,WAWANESA GENERAL INSURANCE COMPANY,WAWANESA GENERAL INSURANCE COMPANY,48036,3.7,2,2024
2021,home,9,"FOREMOST INSURANCE COMPANY GRAND RAPIDS, MICHIGAN","Foremost Insurance Company Grand Rapids, Michigan",277174,1.6,4,2023
2021,home,10,NATIONWIDE MUTUAL INSURANCE COMPANY,NATIONWIDE MUTUAL INSURANCE COMPANY,266670,11.3,25,2024
2021,home,11,CENTURY-NATIONAL INSURANCE COMPANY,CENTURY-NATIONAL INSURANCE COMPANY,41998,0.0,0,2024
2021,home,11,ASI SELECT INSURANCE CORP.,ASI Select Insurance Corp.,71553,4.9,3,2023
2021,home,12,HOMESITE INSURANCE COMPANY OF CALIFORNIA,HOMESITE INSURANCE COMPANY OF CALIFORNIA,234542,2.7,6,2024
2021,home,13,UNIVERSAL NORTH AMERICA INSURANCE COMPANY,UNIVERSAL NORTH AMERICA INSURANCE COMPANY,38311,7.0,4,2024
